Designator,Mid X,Mid Y,Rotation,Layer
_2,128.1938,-47.9044,0.0,top
,151.3586,-47.9298,0.0,top
J2,96.012,-48.8592,0.0,top
J3,183.3372,-48.8846,0.0,top
U1,96.1768,-39.328,0.0,top
U10,108.5478,-48.4632,0.0,top
U11,170.6862,-48.7426,0.0,top
U12,175.0745,-48.7426,0.0,top
U13,92.0248,-39.328,0.0,top
U14,179.4628,-48.7426,0.0,top
U15,186.3716,-39.116,0.0,top
U16,99.7712,-48.4632,0.0,top
U2,100.2916,-39.3534,0.0,top
U3,104.4318,-39.3534,0.0,top
U4,108.572,-39.3534,0.0,top
U5,169.8362,-39.116,0.0,top
U6,173.97005,-39.116,0.0,top
U7,178.1039,-39.116,0.0,top
U8,182.23775,-39.116,0.0,top
U9,104.1654,-48.4632,0.0,top
