Designator,Mid X,Mid Y,Rotation,Layer
_2,183.4134,-99.2632,0.0,top
,85.0646,-99.2886,0.0,top
J1,90.6018,-88.7984,90.0,top
J3,177.1396,-88.6206,270.0,top
U1,89.5096,-84.5312,0.0,top
U14,154.432,-84.328,0.0,top
U15,158.5208,-84.328,0.0,top
U16,162.6102,-84.328,0.0,top
U17,166.6996,-84.328,0.0,top
U18,170.8008,-84.328,0.0,top
U19,174.9038,-84.328,0.0,top
U2,93.603233,-84.5312,0.0,top
U20,178.9932,-84.328,0.0,top
U3,97.696867,-84.5312,0.0,top
U4,101.7905,-84.5312,0.0,top
U5,105.884133,-84.5312,0.0,top
U6,109.977767,-84.5312,0.0,top
U7,114.0714,-84.5312,0.0,top
