Designator,Mid X,Mid Y,Rotation,Layer
_3,150.6474,-124.9172,0.0,top
_2,149.7076,-65.4558,0.0,top
,172.0342,-108.0262,0.0,top
J1,187.49,-107.5,270.0,top
J13,143.0,-79.27,0.0,top
J14,184.73,-63.5,270.0,top
J2,189.0,-85.27,270.0,top
J20,143.0,-112.995,0.0,top
J21,139.5,-90.04,0.0,top
J22,159.535,-128.5,90.0,top
J23,152.495,-128.5,90.0,top
J24,139.5,-101.62,0.0,top
J25,144.0,-96.01,0.0,top
J26,154.77,-64.0,90.0,top
J27,161.495,-64.0,90.0,top
J3,194.77,-63.5,90.0,top
U1,170.516,-107.048,270.0,top
U2,183.8,-119.81,270.0,top
U4,162.8,-86.09,90.0,top
